identifier,architecture,latent_dimension,reconstruction_loss,beta_target,optimizer_policy,maximum_epoch,learning_rate,weight_decay,batch_size,gradient_clip_norm,kl_normalization_divisor,plateau_factor,plateau_patience,plateau_threshold,minimum_learning_rate,checkpoint_epoch,representation,model_family,run_seed,n_train,n_validation,parameter_count,state_sha256,raw_target_balanced_accuracy,latent_target_balanced_accuracy,latent_target_macro_f1_supported,latent_target_macro_f1_union,corrupted_target_balanced_accuracy,corrupted_prediction_agreement,corrupted_latent_cosine_drift,raw_instrument_probe_increment,latent_instrument_probe_increment,instrument_probe_increment_delta,raw_sensor_probe_increment,latent_sensor_probe_increment,sensor_probe_increment_delta,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_reconstruction_median_row_correlation,clean_reconstruction_first_derivative_mae,clean_repeatable_peak_recall,clean_median_peak_shift_cm1,clean_median_absolute_relative_peak_width_change,clean_median_absolute_peak_prominence_change,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_first_derivative_mae,corrupted_repeatable_peak_recall,corrupted_median_peak_shift_cm1,corrupted_median_absolute_relative_peak_width_change,corrupted_median_absolute_peak_prominence_change,stage,subset,outer_fold,inner_fold
base_maxpool__z128__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,128,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,48538264,354,120,2157681,41c685af24a124e566a16908ea65944b19da93d6c048a49ca3238686ccc52d85,0.6782814407814407,0.6652625152625153,0.6484103990246607,0.6484103990246607,0.6647435897435897,0.7083333333333334,0.132870152592659,0.5486607142857143,0.5054315476190476,-0.04322916666666665,0.4272488038277512,0.38910306068200795,-0.03814574314574326,0.6775316464734245,0.7494996938255284,0.07196804735210394,1.0505029394900058,0.30100324566447745,6.905483388783055,0.004928967443813744,0.05394908897486762,0.0023750527225484307,1.9509520588722669,11,7,0.08831443185139966,-0.11540333880801311,0.0313710942864418,0.007161230950176382,0.003580615475088191,0.08038907797719831,0.93146308476735,0.018076288852936474,0.4519230769230769,2.0,0.3996604590221724,0.06619166489690542,0.016500223857138705,0.008250111928569353,0.11176283799860584,0.8968599901120285,0.018387702853396103,0.45085470085470086,2.0,0.3038959616218827,0.07942963391542435,stage_2_latent,strict_core,4,3
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,584382273,361,119,1082353,a7105120a748363652aee42b13d3662ed36953e33ee374dc09b5bf301c0adfb6,0.6682190725260355,0.6529771634054079,0.6514903635872954,0.6514903635872954,0.549907182552655,0.6890756302521008,0.16238050162792206,0.6063063063063063,0.5984234234234234,-0.007882882882882969,0.42513227513227514,0.4026455026455026,-0.022486772486772555,0.6707542637983958,0.7934991934179833,0.1227449296195875,1.0501218299184778,0.25662263650049455,16.217594255923427,0.011575727520287956,0.2533999102488036,0.012484381479371996,2.3103032808573616,29,41,0.2240854626271059,-0.5389638288552286,0.021596312522888184,0.0046558481347899645,0.0023279240673949823,0.06445230412504642,0.9556836183365633,0.016341306465736456,0.5290102389078498,2.0,0.2593386736689717,0.05242715775966644,0.013289045516568398,0.006644522758284199,0.10986525218908506,0.9019851336327505,0.017198761602170463,0.5244596131968146,2.0,0.2723542804460584,0.06744465231895447,stage_2_beta,strict_core,0,1
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,407789727,363,117,1082353,3086f7e8d09833c71a1fface8a8da507a0d1797c9704f23769a8d0aad84bb8a7,0.768140589569161,0.6854308390022675,0.648604537336775,0.648604537336775,0.6274092970521542,0.5982905982905983,0.16278140246868134,0.6159832451499119,0.6173831569664903,0.001399911816578392,0.48355825461088614,0.48675213675213685,0.0031938821412507146,0.7343894507846789,0.8041783722641812,0.06978892147950233,1.01377936698774,0.20960099472355875,16.393145463034262,0.011701031736641158,0.2561428978599103,0.01685115193986215,2.6124501788867995,41,54,0.22627481759911672,-0.5490021014435255,0.024454137310385704,0.007223857307755101,0.0036119286538775506,0.07027977294363714,0.9262782883984825,0.023106457381054546,0.41072740631888316,2.0,0.37725861763714613,0.07645043334923685,0.01501041957564595,0.007505209787822975,0.10172986123787672,0.8630245387429275,0.023716285277007997,0.39309331373989714,2.0,0.5224885254490872,0.08621194718944025,stage_2_beta,strict_core,0,2
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,297086900,360,120,1082353,7b7346c2c6d845c9b5cd61c7d761f58327b09b121f0c298bbb1bfea8237c4c91,0.7031288156288156,0.6332570207570207,0.628562691046221,0.628562691046221,0.589514652014652,0.7083333333333334,0.18183864653110504,0.6017857142857144,0.5630208333333333,-0.038764880952381064,0.40035619351408824,0.41854750512645256,0.018191311612364314,0.6775316464734245,0.7725754821008736,0.09504383562744911,1.0407987726270076,0.26822329052613403,16.284782381130185,0.011623684783105057,0.25444972470515914,0.012880557835189103,2.3993303797758485,28,43,0.2294930638848702,-0.5136376966159371,0.02313632145524025,0.006033962213476588,0.003016981106738294,0.06856421799753692,0.952897907094665,0.018172983294133045,0.5395299145299145,2.0,0.2640398865225191,0.05318525154143572,0.015337296223451709,0.007668648111725854,0.10999506662387479,0.899068180022178,0.0188949391638988,0.5224358974358975,2.0,0.29896230710774907,0.06889943336136639,stage_2_beta,strict_core,0,3
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,192792562,356,124,1082353,5b4740a1df66ec388168ed13922c13daa35a6762812e33fd33c08c9d5cbb8411,0.6676598777162688,0.6576744057947065,0.6550998788709721,0.6550998788709721,0.6348460436806301,0.7419354838709677,0.16612422466278076,0.6110449735449737,0.5585317460317459,-0.052513227513227734,0.41464985994397774,0.39068160597572354,-0.023968253968254194,0.6494197382483371,0.7342514386010724,0.08483170035273535,1.035988079980886,0.3017366413798136,15.526989852468562,0.011082790758364427,0.24260921644482125,0.016108804193876922,2.5904361494225765,35,45,0.22177257993835778,-0.5196098964142819,0.022592846304178238,0.005926997987378797,0.0029634989936893983,0.0658462438942373,0.9498505816857454,0.020067917914459922,0.44366812227074237,2.0,0.27740856133978564,0.060251739108935,0.01427511634093918,0.00713755817046959,0.10108542724861946,0.8950197997814276,0.020678062162101035,0.4218340611353712,2.0,0.3157882586765531,0.07417869567871094,stage_2_beta,strict_core,0,4
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,459419264,361,118,1082353,71249dd6b4833ca0c14bd63b56b88baf4fdf3669e98ee2ef1c835248f48ef81e,0.7547619047619047,0.7571428571428571,0.7628916169949604,0.7628916169949604,0.7114285714285714,0.7796610169491526,0.17395049333572388,0.6118404118404118,0.646975546975547,0.03513513513513522,0.544988344988345,0.5128205128205128,-0.032167832167832255,0.6442009991958362,0.7819916445668004,0.1377906453709642,1.0361776149785331,0.25418597041173274,15.881874158471353,0.011336098614183693,0.2481542837261149,0.013392209816160877,2.3334230128453903,36,54,0.22568769370268146,-0.5324392456724566,0.022524449974298477,0.004748217074888269,0.0023741085374441345,0.06532705096845856,0.935867125217643,0.017831932466610512,0.5870098039215687,2.0,0.3324413919713367,0.05572987534105778,0.015279725859264265,0.007639862929632132,0.10694367561811792,0.8832641465886577,0.01859795052605458,0.5551470588235294,2.0,0.4099741127102093,0.06633658707141876,stage_2_beta,strict_core,1,0
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,434359360,362,117,1082353,3bf73c1d632a78d302a0fc3450be9697c527b15a7f2b9636388673952ef8d3a6,0.7368197278911565,0.7415532879818594,0.7128809672712112,0.7128809672712112,0.6604875283446712,0.7435897435897436,0.16201065480709076,0.6345458553791887,0.6414021164021164,0.00685626102292769,0.49381466486729647,0.4942420152946469,0.00042735042735042583,0.7343894507846789,0.8077490307919221,0.07335958000724319,1.0126570441198524,0.2049080133279303,15.611837480544159,0.011143352948282769,0.2439349606335025,0.015600886716141087,2.5136598261293197,43,54,0.221084274195875,-0.5269859334600804,0.022974546998739243,0.006864072760925561,0.0034320363804627805,0.0721185343830701,0.9295661350978965,0.022956093705133122,0.3629684055841293,2.0,0.37572636647721863,0.08584770746529102,0.013486610527252356,0.006743305263626178,0.1026035661784937,0.8471158792614052,0.02342895576562081,0.34974283614988977,2.0,0.5384269981405154,0.08821701258420944,stage_2_beta,strict_core,1,2
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1554789449,359,120,1082353,0dd29421fae79e77883b8dcfbad4cf631943334b40be37a5ccfe820a0589f1cf,0.6837301587301586,0.6697954822954824,0.6649490414116094,0.6649490414116094,0.5811813186813186,0.6416666666666667,0.1681746542453766,0.6095982142857144,0.5653273809523809,-0.04427083333333348,0.39096225412014884,0.3835353535353534,-0.007426900584795448,0.6775316464734245,0.7676513384688984,0.09011969199547398,1.0297680828946287,0.2621167444257303,16.194933958999872,0.011559553147037738,0.25304584310937306,0.016929585416290263,2.1427320056611365,37,54,0.2221676372470654,-0.5512070030590318,0.02153187058866024,0.005981810131277057,0.0029909050656385283,0.07032603515665319,0.9521240590345845,0.018106159595837577,0.5352564102564102,2.0,0.2592763635004959,0.05563153442926705,0.015535893007795601,0.007767946503897801,0.10920535489701905,0.8986525751279966,0.01871298962869318,0.5053418803418803,2.0,0.31441605782755033,0.06833544018445536,stage_2_beta,strict_core,1,3
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,10096826,355,124,1082353,f20b295308cb0c1107de22f290ed5e4e7efcb620e34379c7b0df13746c624608,0.7234133869472215,0.7230610867828913,0.7251687748899326,0.7251687748899326,0.6200677976993767,0.782258064516129,0.16332101821899414,0.6196428571428572,0.6254629629629631,0.0058201058201059475,0.3273949579831933,0.38791783380018674,0.06052287581699345,0.6494197382483371,0.7300683042337728,0.08064856598543568,1.0419234338802836,0.31185512964651085,15.48160334863217,0.011050394966903762,0.24190005232237777,0.01896242200570538,2.8440472510184063,41,51,0.21605822163679209,-0.5377734788605208,0.02183830551803112,0.005915533333052228,0.002957766666526114,0.06592826787938248,0.9525153398420485,0.02007231424497317,0.474235807860262,2.0,0.2661324405755585,0.057651251554489136,0.01386958031721956,0.00693479015860978,0.10069408809742886,0.8980449797165015,0.020617316106279225,0.4314410480349345,2.0,0.31376683949687506,0.08271103259176016,stage_2_beta,strict_core,1,4
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1015734378,363,118,1082353,8a4bf04326b68278c992c9825d178a2282d34b3a5b53d9e42e4db23bea79c082,0.7819047619047618,0.7609523809523809,0.7452646138056472,0.7452646138056472,0.6876190476190477,0.7033898305084746,0.15506337583065033,0.6334620334620334,0.6537323037323037,0.020270270270270285,0.5617715617715617,0.5296037296037295,-0.032167832167832255,0.6442009991958362,0.7650996040897209,0.12089860489388471,1.013805245172569,0.2487056410828481,16.165169537034373,0.011538308020724034,0.2525807740161621,0.015503864383410164,2.1331044004261677,28,44,0.22493848380923193,-0.5532344972500557,0.022738728672266006,0.004952481379145444,0.002476240689572722,0.06539702531799794,0.9361325087935884,0.01783912616598879,0.5686274509803921,2.0,0.2593576544471081,0.053537264466285706,0.014329680522147642,0.007164840261073821,0.10654506751683067,0.8747451287597036,0.01863363085631131,0.5281862745098039,2.0,0.3814181228440403,0.07152147591114044,stage_2_beta,strict_core,2,0
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,638235034,362,119,1082353,27df9d5593f0efbb5ef632f47d2894c227f50e79b5d634d42f775a2aef31f96d,0.6469718551035976,0.6458664129267268,0.6332628107064197,0.6332628107064197,0.6209216753062782,0.7226890756302521,0.1743108034133911,0.596171171171171,0.5348777348777349,-0.06129343629343609,0.44126984126984137,0.4100529100529101,-0.031216931216931254,0.6707542637983958,0.8111277383929085,0.14037347459451277,1.0508529032397662,0.23972516484685769,16.587831690266096,0.011839994068712417,0.2591848701604077,0.02041732492523671,2.5403291778568384,48,55,0.23317736204102166,-0.5675937722344946,0.022073814645409584,0.004661052446388434,0.002330526223194217,0.06382280275483698,0.9588044752861631,0.016570546176151817,0.5745164960182025,2.0,0.2001392374991384,0.04551326506771147,0.014300952721044577,0.0071504763605222885,0.11137680685336086,0.9039016842287486,0.017539148044134128,0.5779294653014789,2.0,0.25861224451697556,0.06829840876162052,stage_2_beta,strict_core,2,1
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,73431297,361,120,1082353,a76e56dc47a181449ec7b7ebda2302b74e44ed64921fec5efed3e8f81bbebb36,0.7521978021978022,0.7396672771672772,0.7384197620423814,0.7384197620423814,0.6539835164835165,0.7333333333333333,0.18294809758663177,0.6043898809523809,0.6012648809523808,-0.0031250000000000444,0.40091174906964366,0.40580940988835723,0.004897660818713567,0.6775316464734245,0.7889263643459841,0.11139471787255961,1.0435922049755144,0.25466584062953035,15.915990157506563,0.011360449791225241,0.24868734621104002,0.013368882630806638,2.574163215156759,24,48,0.22024504048778226,-0.5168650890982477,0.02188318781554699,0.0060895989200765,0.00304479946003825,0.06899401950475408,0.9504888498333091,0.018220020922546994,0.5267094017094017,2.0,0.2557628550618821,0.05322710797190666,0.014770773720176596,0.007385386860088298,0.108890891349461,0.8957166402116177,0.018947445555924855,0.5128205128205128,2.0,0.27872273366818945,0.08429228886961937,stage_2_beta,strict_core,2,3
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,539537805,357,124,1082353,dc05f26aa41ae05d3d30c9ac0cebcbc80ee014dc7cc960a5c7a32bf58a0702a6,0.6813531080448374,0.6741177577643743,0.668372480528572,0.668372480528572,0.6077149145758167,0.7258064516129032,0.17161425948143005,0.6113095238095239,0.6092592592592593,-0.00205026455026458,0.36687208216619993,0.372950513538749,0.006078431372549042,0.6494197382483371,0.7204558059226635,0.07103606767432635,1.0236640211509451,0.3032082152282817,15.555419344677453,0.011103083044023878,0.2430534272605852,0.012025551347264588,2.7650348061956076,27,44,0.22054972922660637,-0.515358381110864,0.022785989567637444,0.0059437402869899686,0.0029718701434949843,0.06591386572668718,0.9464696832000681,0.020172684626236465,0.48034934497816595,2.0,0.27838801199947716,0.05595821142196655,0.015259422678496722,0.007629711339248361,0.10121025174074312,0.8933915611698163,0.020845967266801196,0.440174672489083,2.0,0.36401468510112633,0.06948678195476532,stage_2_beta,strict_core,2,4
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,148731947,360,118,1082353,308cfe9426c05c7556a6ea5c4ddc8f328ceea4784eaad0f49ae57c5fb0f89e5a,0.7509523809523809,0.7033333333333334,0.7039211170218035,0.7039211170218035,0.6466666666666666,0.7966101694915254,0.13275441527366638,0.6334620334620336,0.6595881595881595,0.02612612612612597,0.534032634032634,0.5435897435897437,0.009557109557109644,0.6442009991958362,0.7770940102949864,0.1328930110991502,1.0347688894812705,0.2576748791862842,15.1657813836367,0.010824968867692148,0.23696533411932352,0.013593393485227985,2.155749420739676,32,43,0.20962146840045695,-0.5104433824705157,0.023461058735847473,0.004836987724688203,0.0024184938623441014,0.06564674692855425,0.9360103664458905,0.01778381513404664,0.5808823529411765,2.0,0.2622062102160977,0.05362297222018242,0.013710918497918447,0.006855459248959223,0.1040181999882384,0.8831438535001443,0.018492368386918454,0.5392156862745098,2.0,0.4129040387178856,0.07195376191521063,stage_2_beta,strict_core,3,0
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,769215076,359,119,1082353,fadc1d1bd8f26c02fbed9373bbf846730d9f9a0da305f8d86425ec30a61db4fe,0.657052763897321,0.6221985476112643,0.6147458397606609,0.6147458397606609,0.5657838306947492,0.7647058823529411,0.14293372631072998,0.586036036036036,0.6243243243243244,0.03828828828828834,0.4093059446000623,0.4211640211640212,0.011858076563958875,0.6707542637983958,0.7780429292536978,0.10728866545530202,1.028307384788803,0.2502644555351051,15.737364480222384,0.01123295109223582,0.24589632000347472,0.015192084758942135,2.397181033448164,24,45,0.2219706341037934,-0.5180595222574015,0.021840086206793785,0.004701402297949995,0.0023507011489749974,0.06542975913721677,0.956884033193321,0.01628826080052361,0.4891922639362912,2.0,0.18029637430754197,0.04992731288075447,0.012639780973726191,0.006319890486863096,0.10677705083632684,0.9189993414618405,0.016976289060223405,0.5062571103526735,2.0,0.28285697510106145,0.0664268434047699,stage_2_beta,strict_core,3,1
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1624325271,361,117,1082353,0e04e4ae95e4d3d7e4693209b722b73bca145c376f1aa8de1ed6ca65432636a3,0.7672052154195012,0.7391439909297052,0.7153511924531204,0.7153511924531204,0.6395124716553288,0.7435897435897436,0.15808430314064026,0.5994378306878305,0.6363646384479718,0.036926807760141234,0.4846153846153845,0.4893162393162393,0.004700854700854795,0.7343894507846789,0.8145800307904556,0.08019058000577672,1.026654807820148,0.21207477702969246,15.070147871897012,0.010756707974230558,0.23547106049839078,0.01378353672850155,2.4918110297506053,32,52,0.21661988725991171,-0.5077604167516306,0.024471726268529892,0.006736184937686292,0.003368092468843146,0.06981788496613248,0.9294484944751712,0.023034575172520288,0.38795003673769285,2.0,0.41817568420936074,0.07389089092612267,0.013410434084074664,0.006705217042037332,0.09965490654660719,0.8821320964773349,0.023560750758501045,0.36443791329904485,2.0,0.5554136270155501,0.09114718437194824,stage_2_beta,strict_core,3,2
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1998784826,354,124,1082353,879e8d85baf656de5113b2d869991c3f017675d91a388f7bf1ec10c65ab7a8dd,0.6210001881994363,0.6724681438027302,0.6655754609536123,0.6655754609536123,0.5915257466009346,0.7661290322580645,0.15966975688934326,0.6486111111111111,0.5196428571428572,-0.12896825396825395,0.3923622782446312,0.37926704014939305,-0.01309523809523816,0.6494197382483371,0.7291146048279695,0.07969486657963243,1.0400438937758236,0.3109292889478541,16.252255208476445,0.011600467672003173,0.2539414876324444,0.017744816605151793,2.265642394231652,46,55,0.22433341914087462,-0.5356104979802581,0.022354882210493088,0.006216348905081369,0.0031081744525406846,0.06622126586218459,0.9479535310959173,0.020180420833507982,0.4794759825327511,2.0,0.2704689401957646,0.05959426937624812,0.014730554747472308,0.007365277373736154,0.10364144360564793,0.8898056560920551,0.020900023949657284,0.45414847161572053,2.0,0.3233432214208649,0.07866489794105291,stage_2_beta,strict_core,3,4
